Affinity  , # nodes   , time                
1         , 524288    , 32.908203           
1         , 524288    , 34.432129           
1         , 524288    , 33.298828           
1         , 524288    , 34.057861           
1         , 524288    , 35.162109           
1         , 524288    , 33.906006           
1         , 524288    , 32.564941           
1         , 524288    , 32.769775           
1         , 524288    , 33.440186           
1         , 524288    , 32.649170           
1         , 524288    , 33.850098           
1         , 524288    , 33.055176           
1         , 524288    , 33.471680           
1         , 524288    , 34.122803           
1         , 524288    , 33.759277           
1         , 524288    , 32.664795           
1         , 524288    , 33.607910           
1         , 524288    , 33.972900           
1         , 524288    , 34.357910           
1         , 524288    , 32.769043           
1         , 524288    , 32.306152           
1         , 524288    , 32.900879           
1         , 524288    , 32.385010           
1         , 524288    , 35.098145           
2         , 524288    , 45.942871           
2         , 524288    , 44.423096           
2         , 524288    , 45.203857           
2         , 524288    , 44.873047           
2         , 524288    , 44.016113           
2         , 524288    , 43.437012           
2         , 524288    , 47.446045           
2         , 524288    , 44.272949           
2         , 524288    , 47.699951           
2         , 524288    , 44.726807           
2         , 524288    , 44.041260           
2         , 524288    , 47.395752           
2         , 524288    , 43.654785           
2         , 524288    , 45.716064           
2         , 524288    , 44.646973           
2         , 524288    , 44.531006           
2         , 524288    , 44.748047           
2         , 524288    , 43.441162           
2         , 524288    , 45.144043           
2         , 524288    , 43.421875           
2         , 524288    , 44.104248           
2         , 524288    , 46.480957           
2         , 524288    , 43.313965           
2         , 524288    , 44.276123           
2         , 524288    , 45.804932           
3         , 524288    , 65.468994           
3         , 524288    , 67.109863           
3         , 524288    , 66.115967           
3         , 524288    , 63.362061           
3         , 524288    , 67.196045           
3         , 524288    , 64.723877           
3         , 524288    , 64.523438           
3         , 524288    , 64.269043           
3         , 524288    , 66.127197           
3         , 524288    , 64.387695           
3         , 524288    , 66.177734           
3         , 524288    , 63.356689           
3         , 524288    , 68.513916           
3         , 524288    , 71.001953           
3         , 524288    , 67.407227           
3         , 524288    , 69.238770           
3         , 524288    , 69.789062           
3         , 524288    , 67.187012           
3         , 524288    , 67.155029           
3         , 524288    , 65.707764           
3         , 524288    , 69.939209           
3         , 524288    , 68.118164           
3         , 524288    , 66.468018           
3         , 524288    , 68.458984           
3         , 524288    , 67.956055           
4         , 524288    , 79.711914           
4         , 524288    , 81.244141           
4         , 524288    , 81.832275           
4         , 524288    , 80.771973           
4         , 524288    , 81.854980           
4         , 524288    , 80.467041           
4         , 524288    , 80.826904           
4         , 524288    , 79.785156           
4         , 524288    , 84.886963           
4         , 524288    , 78.556152           
4         , 524288    , 80.566162           
4         , 524288    , 81.609863           
4         , 524288    , 81.324219           
