Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.475018            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.552029            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 8.188940            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.576914            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.526953            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.585005            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.253885            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.997980            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.099073            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.575153            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.409910            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.419960            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.906956            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.467052            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.176044            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.805799            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 6.567875            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.662138            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.290779            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.392111            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.048964            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.437197            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.199104            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.261126            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.547884            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.455791            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.166182            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.603092            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.591906            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.477894            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.612970            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.557924            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.388926            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.267111            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 9.406147            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 7.877810            
32        , 1.000000            , 1         , 10        , 32                  , 1         , 8.722935            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.408003            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.637899            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.561159            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.028074            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.805889            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 7.945026            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.737865            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.683767            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.852942            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.232918            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.048946            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 9.537046            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.875011            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.678076            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.213057            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.445978            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.336967            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.518988            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.236923            
32        , 1.000000            , 1         , 11        , 32                  , 1         , 8.255077            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 11.235086           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.573797           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.316042           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.056097           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.722958           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.979969           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 14.760948           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.604229           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 14.094070           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.104027           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.166876           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.975046            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.237082            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 8.895054            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.206825           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.071127            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.775816            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 10.490976           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.728006            
32        , 1.000000            , 1         , 12        , 32                  , 1         , 9.858856            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.446680           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 12.163946           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 11.269016           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.773081           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.452995           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 11.703072           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.738993           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 12.084019           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 11.554996           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 11.444118           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.746984            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 8.707062            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.052011            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.315931            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.285084            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.932037            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 9.942976            
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.049046           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.132006           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 10.056053           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.405048           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.395933           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 16.037092           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 12.070013           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.883940           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 10.881920           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.112064           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.315086           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 10.626011           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 11.040026           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 10.535074           
