Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.265137           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 19.645020           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.810791           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 27.745117           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 20.744873           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 23.135986           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 25.119873           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.987793           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 20.036133           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 23.636230           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 24.657959           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 20.622803           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 41.843018           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 19.929932           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 20.336670           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 20.926025           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 20.513916           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 22.636719           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 19.596191           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 21.623047           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 28.942139           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 21.082031           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 27.023926           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 26.096924           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 31.637939           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 24.706055           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 22.691895           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 24.442871           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 27.145020           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 21.812988           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 23.718994           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 23.874023           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 27.359131           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 23.806885           
32        , 1.000000            , 1         , 15        , 32                  , 1         , 24.477051           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 24.974121           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 22.470947           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 23.107910           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 25.627686           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 29.849121           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 25.322998           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 21.214111           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 24.468994           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 28.135010           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 26.296143           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 25.465088           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 25.490234           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 30.487061           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 30.920166           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 22.733398           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 23.874023           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 20.332031           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 24.415039           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 26.956055           
32        , 1.000000            , 1         , 16        , 32                  , 1         , 31.842041           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 22.453125           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 27.765137           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 27.355957           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 26.404053           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 32.014160           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 32.499023           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 26.787109           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 31.232910           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 30.066895           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 26.586914           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 31.162109           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 24.554199           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 28.394043           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 26.653076           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 27.177246           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 23.356934           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 29.619873           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 31.392090           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 32.224121           
32        , 1.000000            , 1         , 17        , 32                  , 1         , 26.291016           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 33.640869           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 24.578125           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 27.567871           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 26.545898           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 24.476074           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 32.027100           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 25.411865           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 27.852295           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 27.822998           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 31.201904           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 23.212402           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 26.562988           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 25.061279           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 24.094971           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 23.161133           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 27.260010           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 24.647949           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 28.695068           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 23.136230           
32        , 1.000000            , 1         , 18        , 32                  , 1         , 25.862793           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 28.536865           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 24.641113           
32        , 1.000000            , 1         , 19        , 32                  , 1         , 28.094971           
